target_rate,timestamp,batch_id,num_input_rows,input_rows_per_sec,processed_rows_per_sec,batch_duration_ms
100,2026-03-26T23:11:49.821,0,0,0.00,0.00,11793
100,2026-03-26T23:11:56.503,1,0,0.00,0.00,6691
100,2026-03-26T23:12:02.945,2,0,0.00,0.00,6442
100,2026-03-26T23:12:09.194,3,0,0.00,0.00,6249
100,2026-03-26T23:12:15.396,4,0,0.00,0.00,6202
100,2026-03-26T23:12:21.806,5,0,0.00,0.00,6410
100,2026-03-26T23:12:28.154,6,0,0.00,0.00,6348
100,2026-03-26T23:12:34.852,7,0,0.00,0.00,6698
100,2026-03-26T23:12:41.995,8,61,9.11,8.54,7142
100,2026-03-26T23:12:48.495,9,700,97.98,107.73,6498
100,2026-03-26T23:12:55.093,10,640,98.48,97.01,6597
100,2026-03-26T23:13:01.615,11,640,97.00,98.14,6521
100,2026-03-26T23:13:07.879,12,640,98.13,102.19,6263
100,2026-03-26T23:13:14.234,13,620,98.98,97.56,6355
100,2026-03-26T23:13:20.874,14,630,99.13,94.89,6639
100,2026-03-26T23:13:27.560,15,651,98.04,97.38,6685
100,2026-03-26T23:13:33.958,16,660,98.71,103.17,6397
100,2026-03-26T23:13:40.311,17,630,98.47,99.17,6353
100,2026-03-26T23:13:47.707,18,630,99.17,85.18,7396
100,2026-03-26T23:13:56.519,19,401,54.22,45.51,8812
100,2026-03-26T23:14:04.053,20,0,0.00,0.00,7534
100,2026-03-26T23:14:10.253,21,0,0.00,0.00,6196
100,2026-03-26T23:14:16.292,22,0,0.00,0.00,6039
100,2026-03-26T23:14:22.665,23,0,0.00,0.00,6373
100,2026-03-26T23:14:28.686,24,0,0.00,0.00,6021
100,2026-03-26T23:14:34.827,25,0,0.00,0.00,6141
100,2026-03-26T23:14:40.968,26,0,0.00,0.00,6141
100,2026-03-26T23:14:47.183,27,0,0.00,0.00,6215
100,2026-03-26T23:14:53.502,28,0,0.00,0.00,6319
100,2026-03-26T23:14:59.563,29,0,0.00,0.00,6061
100,2026-03-26T23:15:05.724,30,0,0.00,0.00,6161
100,2026-03-26T23:15:11.831,31,0,0.00,0.00,6107
100,2026-03-26T23:15:17.870,32,0,0.00,0.00,6034
100,2026-03-26T23:15:24.006,33,0,0.00,0.00,6136
100,2026-03-26T23:15:31.154,34,0,0.00,0.00,7148
100,2026-03-26T23:15:37.340,35,0,0.00,0.00,6184
100,2026-03-26T23:15:43.822,36,0,0.00,0.00,6482
100,2026-03-26T23:15:51.200,37,0,0.00,0.00,7369
100,2026-03-26T23:15:59.336,38,0,0.00,0.00,8136
100,2026-03-26T23:16:07.017,39,0,0.00,0.00,7674
100,2026-03-26T23:16:14.287,40,0,0.00,0.00,7270
500,2026-03-26T22:56:28.594,65,1,0.14,0.15,6734
500,2026-03-26T22:56:34.691,66,1650,245.03,270.62,6097
500,2026-03-26T22:56:41.351,67,3000,492.05,450.52,6659
500,2026-03-26T22:56:47.550,68,3250,487.99,524.28,6199
500,2026-03-26T22:56:53.752,69,3100,500.08,499.84,6202
500,2026-03-26T22:56:59.939,70,3000,483.71,484.97,6186
500,2026-03-26T22:57:06.089,71,3050,492.97,496.02,6149
500,2026-03-26T22:57:12.742,72,3051,496.10,458.59,6653
500,2026-03-26T22:57:20.513,73,3300,496.02,424.71,7770
500,2026-03-26T22:57:28.098,74,3800,489.00,501.05,7584
500,2026-03-26T22:57:35.309,75,3700,487.80,513.18,7210
500,2026-03-26T22:57:42.291,76,3600,499.24,515.61,6982
500,2026-03-26T22:57:48.961,77,1,0.14,0.15,6670
1000,2026-03-26T23:00:01.322,98,1,0.15,0.15,6736
1000,2026-03-26T23:00:07.490,99,4600,682.90,745.91,6167
1000,2026-03-26T23:00:14.020,100,6100,988.98,934.15,6530
1000,2026-03-26T23:00:20.419,101,6300,964.78,984.68,6398
1000,2026-03-26T23:00:26.794,102,6300,984.53,988.55,6373
1000,2026-03-26T23:00:32.979,103,6300,988.24,1018.76,6184
1000,2026-03-26T23:00:39.284,104,6000,970.09,951.78,6304
1000,2026-03-26T23:00:45.899,105,6301,999.37,952.68,6614
1000,2026-03-26T23:00:52.177,106,6500,982.62,1035.53,6277
1000,2026-03-26T23:00:58.604,107,6100,971.65,949.12,6427
1000,2026-03-26T23:01:04.830,108,6400,995.80,1028.11,6225
1000,2026-03-26T23:01:11.247,109,6200,995.82,966.18,6417
1000,2026-03-26T23:01:18.985,110,1801,280.66,232.81,7736
